iso_code,country,2021_last_updated,2020_population,area_sq_km,density_sq_km,growth_rate_,world_%,rank
ESH,Western Sahara,620280,597339,266000,2,2.43,0.00,170
SUR,Suriname,594817,586632,163820,4,0.88,0.00,171
CPV,Cape Verde,565346,555987,4033,139,1.06,0.00,172
MDV,Maldives,546203,540544,300,1812,0.57,0.00,173
MLT,Malta,443646,441543,316,1401,0.28,0.00,174
BRN,Brunei,443903,437479,5765,77,0.93,0.00,175
BLZ,Belize,409224,397628,22966,18,1.83,0.00,176
BHS,Bahamas,399068,393244,13943,28,0.93,0.00,178
MTQ,Martinique,374314,375265,1128,332,-0.14,0.00,179
ISL,Iceland,344646,341243,103000,3,0.62,0.00,180
VUT,Vanuatu,318774,307145,12189,26,2.38,0.00,181
NCL,New Caledonia,289727,285498,18575,16,0.95,0.00,183
BRB,Barbados,287927,287375,430,669,0.12,0.00,184
PYF,French Polynesia,283392,280908,4167,68,0.58,0.00,185
MYT,Mayotte,283394,272815,374,747,2.46,0.00,186
STP,Sao Tome And Principe,225954,219159,964,232,1.92,0.00,187
WSM,Samoa,201011,198414,2842,70,0.87,0.00,188
LCA,Saint Lucia,184831,183627,616,299,0.42,0.00,189
GUM,Guam,171041,168775,549,310,0.83,0.00,190
CUW,Curacao,165229,164093,444,371,0.43,0.00,191
KIR,Kiribati,122470,119449,811,150,1.63,0.00,192
FSM,Micronesia,116901,115023,702,166,1.07,0.00,193
GRD,Grenada,113237,112523,344,329,0.44,0.00,194
ABW,Aruba,107204,106766,180,596,0.41,0.00,196
TON,Tonga,107407,105695,747,143,1.01,0.00,197
VIR,United States Virgin Islands,104010,104425,347,300,-0.19,0.00,198
SYC,Seychelles,99124,98347,452,219,0.57,0.00,199
ATG,Antigua And Barbuda,99162,97929,442,223,0.82,0.00,200
AND,Andorra,77355,77265,468,165,0.12,0.00,202
DMA,Dominica,72167,71986,751,96,0.25,0.00,203
CYM,Cayman Islands,66497,65722,264,252,1.18,0.00,204
BMU,Bermuda,62090,62278,54,1150,-0.30,0.00,205
MHL,Marshall Islands,59610,59190,181,329,0.71,0.00,206
MNP,Northern Mariana Islands,57917,57559,464,125,0.62,0.00,207
GRL,Greenland,56877,56770,2166086,0,0.19,0.00,208
ASM,American Samoa,55100,55191,199,277,-0.16,0.00,209
KNA,Saint Kitts And Nevis,53544,53199,261,205,0.65,0.00,210
FRO,Faroe Islands,49049,48863,1393,35,0.38,0.00,211
MAF,Sint Maarten,43412,42876,34,1277,1.25,0.00,212
MCO,Monaco,39511,39242,2,19756,0.69,0.00,213
